record_id,source_type,source_ref,validation_status
rec_0001_be_junior_http_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0002_be_junior_http_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0003_be_junior_http_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0004_be_junior_http_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0005_be_junior_http_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0006_be_junior_http_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0007_be_junior_http_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0008_be_junior_http_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0009_be_junior_http_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0010_be_junior_http_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0011_be_junior_http_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0012_be_junior_http_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0013_be_junior_http_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0014_be_junior_http_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0015_be_junior_http_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0016_be_junior_http_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0017_be_junior_http_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0018_be_junior_http_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0019_be_junior_http_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0020_be_junior_http_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0021_be_junior_api_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0022_be_junior_api_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0023_be_junior_api_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0024_be_junior_api_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0025_be_junior_api_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0026_be_junior_api_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0027_be_junior_api_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0028_be_junior_api_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0029_be_junior_api_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0030_be_junior_api_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0031_be_junior_api_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0032_be_junior_api_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0033_be_junior_api_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0034_be_junior_api_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0035_be_junior_api_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0036_be_junior_api_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0037_be_junior_api_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0038_be_junior_api_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0039_be_junior_api_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0040_be_junior_api_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0041_be_junior_auth_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0042_be_junior_auth_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0043_be_junior_auth_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0044_be_junior_auth_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0045_be_junior_auth_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0046_be_junior_auth_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0047_be_junior_auth_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0048_be_junior_auth_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0049_be_junior_auth_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0050_be_junior_auth_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0051_be_junior_auth_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0052_be_junior_auth_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0053_be_junior_auth_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0054_be_junior_auth_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0055_be_junior_auth_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0056_be_junior_auth_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0057_be_junior_auth_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0058_be_junior_auth_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0059_be_junior_auth_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0060_be_junior_auth_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0061_be_junior_sql_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0062_be_junior_sql_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0063_be_junior_sql_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0064_be_junior_sql_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0065_be_junior_sql_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0066_be_junior_sql_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0067_be_junior_sql_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0068_be_junior_sql_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0069_be_junior_sql_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0070_be_junior_sql_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0071_be_junior_sql_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0072_be_junior_sql_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0073_be_junior_sql_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0074_be_junior_sql_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0075_be_junior_sql_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0076_be_junior_sql_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0077_be_junior_sql_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0078_be_junior_sql_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0079_be_junior_sql_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0080_be_junior_sql_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0081_be_junior_tx_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0082_be_junior_tx_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0083_be_junior_tx_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0084_be_junior_tx_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0085_be_junior_tx_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0086_be_junior_tx_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0087_be_junior_tx_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0088_be_junior_tx_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0089_be_junior_tx_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0090_be_junior_tx_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0091_be_junior_tx_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0092_be_junior_tx_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0093_be_junior_tx_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0094_be_junior_tx_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0095_be_junior_tx_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0096_be_junior_tx_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0097_be_junior_tx_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0098_be_junior_tx_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0099_be_junior_tx_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0100_be_junior_tx_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0101_be_junior_cache_001_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0102_be_junior_cache_001_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0103_be_junior_cache_001_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0104_be_junior_cache_001_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0105_be_junior_cache_001_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0106_be_junior_cache_002_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0107_be_junior_cache_002_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0108_be_junior_cache_002_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0109_be_junior_cache_002_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0110_be_junior_cache_002_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0111_be_junior_cache_003_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0112_be_junior_cache_003_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0113_be_junior_cache_003_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0114_be_junior_cache_003_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0115_be_junior_cache_003_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0116_be_junior_cache_004_empty,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0117_be_junior_cache_004_weak,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0118_be_junior_cache_004_medium,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0119_be_junior_cache_004_good,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
rec_0120_be_junior_cache_004_strong,synthetic_needs_human_review,generated_v1_chatgpt,rule_checked_not_human_reviewed
