record_id,dedup_group,split
rec_0001_be_junior_http_001_empty,be_junior_http_001_empty,train
rec_0002_be_junior_http_001_weak,be_junior_http_001_weak,train
rec_0003_be_junior_http_001_medium,be_junior_http_001_medium,train
rec_0004_be_junior_http_001_good,be_junior_http_001_good,eval
rec_0005_be_junior_http_001_strong,be_junior_http_001_strong,test
rec_0006_be_junior_http_002_empty,be_junior_http_002_empty,train
rec_0007_be_junior_http_002_weak,be_junior_http_002_weak,train
rec_0008_be_junior_http_002_medium,be_junior_http_002_medium,train
rec_0009_be_junior_http_002_good,be_junior_http_002_good,eval
rec_0010_be_junior_http_002_strong,be_junior_http_002_strong,test
rec_0011_be_junior_http_003_empty,be_junior_http_003_empty,train
rec_0012_be_junior_http_003_weak,be_junior_http_003_weak,train
rec_0013_be_junior_http_003_medium,be_junior_http_003_medium,train
rec_0014_be_junior_http_003_good,be_junior_http_003_good,eval
rec_0015_be_junior_http_003_strong,be_junior_http_003_strong,test
rec_0016_be_junior_http_004_empty,be_junior_http_004_empty,train
rec_0017_be_junior_http_004_weak,be_junior_http_004_weak,train
rec_0018_be_junior_http_004_medium,be_junior_http_004_medium,train
rec_0019_be_junior_http_004_good,be_junior_http_004_good,eval
rec_0020_be_junior_http_004_strong,be_junior_http_004_strong,test
rec_0021_be_junior_api_001_empty,be_junior_api_001_empty,train
rec_0022_be_junior_api_001_weak,be_junior_api_001_weak,train
rec_0023_be_junior_api_001_medium,be_junior_api_001_medium,train
rec_0024_be_junior_api_001_good,be_junior_api_001_good,eval
rec_0025_be_junior_api_001_strong,be_junior_api_001_strong,test
rec_0026_be_junior_api_002_empty,be_junior_api_002_empty,train
rec_0027_be_junior_api_002_weak,be_junior_api_002_weak,train
rec_0028_be_junior_api_002_medium,be_junior_api_002_medium,train
rec_0029_be_junior_api_002_good,be_junior_api_002_good,eval
rec_0030_be_junior_api_002_strong,be_junior_api_002_strong,test
rec_0031_be_junior_api_003_empty,be_junior_api_003_empty,train
rec_0032_be_junior_api_003_weak,be_junior_api_003_weak,train
rec_0033_be_junior_api_003_medium,be_junior_api_003_medium,train
rec_0034_be_junior_api_003_good,be_junior_api_003_good,eval
rec_0035_be_junior_api_003_strong,be_junior_api_003_strong,test
rec_0036_be_junior_api_004_empty,be_junior_api_004_empty,train
rec_0037_be_junior_api_004_weak,be_junior_api_004_weak,train
rec_0038_be_junior_api_004_medium,be_junior_api_004_medium,train
rec_0039_be_junior_api_004_good,be_junior_api_004_good,eval
rec_0040_be_junior_api_004_strong,be_junior_api_004_strong,test
rec_0041_be_junior_auth_001_empty,be_junior_auth_001_empty,train
rec_0042_be_junior_auth_001_weak,be_junior_auth_001_weak,train
rec_0043_be_junior_auth_001_medium,be_junior_auth_001_medium,train
rec_0044_be_junior_auth_001_good,be_junior_auth_001_good,eval
rec_0045_be_junior_auth_001_strong,be_junior_auth_001_strong,test
rec_0046_be_junior_auth_002_empty,be_junior_auth_002_empty,train
rec_0047_be_junior_auth_002_weak,be_junior_auth_002_weak,train
rec_0048_be_junior_auth_002_medium,be_junior_auth_002_medium,train
rec_0049_be_junior_auth_002_good,be_junior_auth_002_good,eval
rec_0050_be_junior_auth_002_strong,be_junior_auth_002_strong,test
rec_0051_be_junior_auth_003_empty,be_junior_auth_003_empty,train
rec_0052_be_junior_auth_003_weak,be_junior_auth_003_weak,train
rec_0053_be_junior_auth_003_medium,be_junior_auth_003_medium,train
rec_0054_be_junior_auth_003_good,be_junior_auth_003_good,eval
rec_0055_be_junior_auth_003_strong,be_junior_auth_003_strong,test
rec_0056_be_junior_auth_004_empty,be_junior_auth_004_empty,train
rec_0057_be_junior_auth_004_weak,be_junior_auth_004_weak,train
rec_0058_be_junior_auth_004_medium,be_junior_auth_004_medium,train
rec_0059_be_junior_auth_004_good,be_junior_auth_004_good,eval
rec_0060_be_junior_auth_004_strong,be_junior_auth_004_strong,test
rec_0061_be_junior_sql_001_empty,be_junior_sql_001_empty,train
rec_0062_be_junior_sql_001_weak,be_junior_sql_001_weak,train
rec_0063_be_junior_sql_001_medium,be_junior_sql_001_medium,train
rec_0064_be_junior_sql_001_good,be_junior_sql_001_good,eval
rec_0065_be_junior_sql_001_strong,be_junior_sql_001_strong,test
rec_0066_be_junior_sql_002_empty,be_junior_sql_002_empty,train
rec_0067_be_junior_sql_002_weak,be_junior_sql_002_weak,train
rec_0068_be_junior_sql_002_medium,be_junior_sql_002_medium,train
rec_0069_be_junior_sql_002_good,be_junior_sql_002_good,eval
rec_0070_be_junior_sql_002_strong,be_junior_sql_002_strong,test
rec_0071_be_junior_sql_003_empty,be_junior_sql_003_empty,train
rec_0072_be_junior_sql_003_weak,be_junior_sql_003_weak,train
rec_0073_be_junior_sql_003_medium,be_junior_sql_003_medium,train
rec_0074_be_junior_sql_003_good,be_junior_sql_003_good,eval
rec_0075_be_junior_sql_003_strong,be_junior_sql_003_strong,test
rec_0076_be_junior_sql_004_empty,be_junior_sql_004_empty,train
rec_0077_be_junior_sql_004_weak,be_junior_sql_004_weak,train
rec_0078_be_junior_sql_004_medium,be_junior_sql_004_medium,train
rec_0079_be_junior_sql_004_good,be_junior_sql_004_good,eval
rec_0080_be_junior_sql_004_strong,be_junior_sql_004_strong,test
rec_0081_be_junior_tx_001_empty,be_junior_tx_001_empty,train
rec_0082_be_junior_tx_001_weak,be_junior_tx_001_weak,train
rec_0083_be_junior_tx_001_medium,be_junior_tx_001_medium,train
rec_0084_be_junior_tx_001_good,be_junior_tx_001_good,eval
rec_0085_be_junior_tx_001_strong,be_junior_tx_001_strong,test
rec_0086_be_junior_tx_002_empty,be_junior_tx_002_empty,train
rec_0087_be_junior_tx_002_weak,be_junior_tx_002_weak,train
rec_0088_be_junior_tx_002_medium,be_junior_tx_002_medium,train
rec_0089_be_junior_tx_002_good,be_junior_tx_002_good,eval
rec_0090_be_junior_tx_002_strong,be_junior_tx_002_strong,test
rec_0091_be_junior_tx_003_empty,be_junior_tx_003_empty,train
rec_0092_be_junior_tx_003_weak,be_junior_tx_003_weak,train
rec_0093_be_junior_tx_003_medium,be_junior_tx_003_medium,train
rec_0094_be_junior_tx_003_good,be_junior_tx_003_good,eval
rec_0095_be_junior_tx_003_strong,be_junior_tx_003_strong,test
rec_0096_be_junior_tx_004_empty,be_junior_tx_004_empty,train
rec_0097_be_junior_tx_004_weak,be_junior_tx_004_weak,train
rec_0098_be_junior_tx_004_medium,be_junior_tx_004_medium,train
rec_0099_be_junior_tx_004_good,be_junior_tx_004_good,eval
rec_0100_be_junior_tx_004_strong,be_junior_tx_004_strong,test
rec_0101_be_junior_cache_001_empty,be_junior_cache_001_empty,train
rec_0102_be_junior_cache_001_weak,be_junior_cache_001_weak,train
rec_0103_be_junior_cache_001_medium,be_junior_cache_001_medium,train
rec_0104_be_junior_cache_001_good,be_junior_cache_001_good,eval
rec_0105_be_junior_cache_001_strong,be_junior_cache_001_strong,test
rec_0106_be_junior_cache_002_empty,be_junior_cache_002_empty,train
rec_0107_be_junior_cache_002_weak,be_junior_cache_002_weak,train
rec_0108_be_junior_cache_002_medium,be_junior_cache_002_medium,train
rec_0109_be_junior_cache_002_good,be_junior_cache_002_good,eval
rec_0110_be_junior_cache_002_strong,be_junior_cache_002_strong,test
rec_0111_be_junior_cache_003_empty,be_junior_cache_003_empty,train
rec_0112_be_junior_cache_003_weak,be_junior_cache_003_weak,train
rec_0113_be_junior_cache_003_medium,be_junior_cache_003_medium,train
rec_0114_be_junior_cache_003_good,be_junior_cache_003_good,eval
rec_0115_be_junior_cache_003_strong,be_junior_cache_003_strong,test
rec_0116_be_junior_cache_004_empty,be_junior_cache_004_empty,train
rec_0117_be_junior_cache_004_weak,be_junior_cache_004_weak,train
rec_0118_be_junior_cache_004_medium,be_junior_cache_004_medium,train
rec_0119_be_junior_cache_004_good,be_junior_cache_004_good,eval
rec_0120_be_junior_cache_004_strong,be_junior_cache_004_strong,test
